cui,term,target_similarity,article_count,mgb_freq,importance_score,phenotyping_features,expanded_features,symnonym_cui,symnonym_term,acronym_cui,acronym_term
C0026769,Multiple Sclerosis,1,19,0.0474,3.2798,TRUE,TRUE,,,AB0000ms,ms
C0751967,"Multiple Sclerosis, Relapsing-Remitting",0.6138,8,0.0064,2.1458,TRUE,TRUE,,,,
C0011304,Demyelination,0.4513,12,0.0262,1.4382,TRUE,TRUE,C1857639,Dysmyelination,,
C0029134,Optic Neuritis,0.3923,10,0.0096,1.3835,TRUE,TRUE,,,,
C0011303,Demyelinating Diseases,0.4074,11,0.0282,1.2287,TRUE,TRUE,,,,
C0751965,"Multiple Sclerosis, Secondary Progressive",0.6244,2,0.0018,1.1651,TRUE,TRUE,,,,
C0011570,Mental Depression,0.3474,11,0.0234,1.1059,TRUE,TRUE,C1999266; C0013415; C0041696; C1269683; C2362914; C0344315,"Depression, CTCAE; Dysthymic Disorder; Unipolar Depression; Major Depressive Disorder; clinical depression; Depressed mood",,
C0231170,Disability,0.3494,15,0.0586,1.0172,TRUE,TRUE,,,,
C0069426,Oligoclonal Bands (protein),0.2716,9,0.0084,0.9618,TRUE,TRUE,,,,
C2752009,White matter lesion,0.4443,4,0.02,0.8739,TRUE,TRUE,,,,
C1579931,Depressed - symptom,0.3163,11,0.0606,0.8299,TRUE,TRUE,C0344315,Depressed mood,,
C0035020,Relapse,0.3215,14,0.1154,0.8094,TRUE,TRUE,,,,
C0026838,Muscle Spasticity,0.2997,10,0.0406,0.8025,TRUE,TRUE,C4553743,"Spasticity, CTCAE",,
C0011581,Depressive disorder,0.3391,12,0.1352,0.7806,TRUE,TRUE,C0349217,"Depressive episode, unspecified",,
C0004093,Asthenia,0.2762,6,0.012,0.7667,TRUE,TRUE,C3714552,Weakness,,
C0682148,Disability status,0.2422,7,0.0126,0.6951,TRUE,TRUE,,,,
C0087136,Unmarried,0.2483,6,0.0144,0.6568,TRUE,TRUE,C0037179,Unmarried person,,
C0423551,Sensory symptoms,0.3638,4,0.0304,0.6464,TRUE,TRUE,,,,
C3540014,CENTRAL NERVOUS SYSTEM DIAGNOSTIC RADIOPHARMACEUTICALS,0.2016,13,0.0308,0.6431,TRUE,TRUE,,,,
C0163712,Relate - vinyl resin,0.2636,16,0.2202,0.6156,TRUE,TRUE,,,,
C0202205,Oligoclonal protein measurement,0.168,9,0.0082,0.5972,TRUE,TRUE,,,,
C0004268,Attention,0.2338,6,0.0166,0.5917,TRUE,TRUE,,,,
C0066677,modafinil,0.2969,4,0.0196,0.5837,TRUE,TRUE,C0722882,Provigil,,
C0528175,Copaxone,0.4984,1,0.0068,0.5781,TRUE,TRUE,C0289884,glatiramer acetate,,
C0344315,Depressed mood,0.3204,11,0.5998,0.5579,TRUE,TRUE,C0011570; C1579931,Mental Depression; Depressed - symptom,AB000sad,sad
C5203119,Intensity and Distress 5,0.1691,8,0.0072,0.557,TRUE,TRUE,,,,
C0010957,Tissue damage,0.1742,8,0.0116,0.5568,TRUE,TRUE,,,,
C1558916,Adverse Event Associated with Syndromes,0.2463,8,0.0594,0.5449,TRUE,TRUE,,,,
C1529600,Tysabri,0.4664,1,0.0066,0.5433,TRUE,TRUE,C1172734,natalizumab,,
C0878575,Peripheral demyelination,0.1662,12,0.0258,0.5313,TRUE,TRUE,,,,
C1457887,Symptoms,0.2894,16,0.9246,0.5306,TRUE,TRUE,C0159028,General symptom,,
C5202921,RECIL PD,0.2985,4,0.0458,0.5254,TRUE,TRUE,,,AB0000pd,pd
C0241224,Spinal cord lesion,0.1686,6,0.0062,0.5095,FALSE,TRUE,,,,
C5202991,IMWG Progressive Disease,0.2876,4,0.0458,0.5062,FALSE,TRUE,,,,
C0017639,Gliosis,0.2046,6,0.0256,0.5004,FALSE,TRUE,,,,
C0015672,Fatigue,0.2926,12,0.773,0.4999,FALSE,TRUE,C1556362; C1556363; C1556364; C4554645,"Grade 1 Fatigue, CTCAE; Grade 2 Fatigue, CTCAE; Grade 3 Fatigue, CTCAE; Fatigue, CTCAE 5.0",AB00tatt,tatt
C3539781,Progressive cGVHD,0.2818,4,0.0458,0.4961,FALSE,TRUE,,,,
C2004461,Bowel dysfunction,0.2248,5,0.0218,0.4881,FALSE,TRUE,,,,
C3714552,Weakness,0.2989,7,0.2476,0.4879,FALSE,TRUE,C0004093,Asthenia,AB00weak,weak
C4551520,Intention tremor,0.2047,5,0.0218,0.4794,FALSE,TRUE,C0234376,Action Tremor,,
C0338656,Impaired cognition,0.2386,9,0.1304,0.4753,FALSE,TRUE,C1270972; C0683322; C4553384,"Mild cognitive disorder; Mental impairment; Cognitive Disturbance, CTCAE 5.0",,
